,Symbol,Open,High,Low,Close,Volume,Market Cap
500,MOON,0.04905405,0.0620189,0.03854109,0.04904691,56001104.0,10993374584.22
332,GBX,3706.193167,4294.732447,3273.515825,3690.557444,55072441.0,3128215902.48
826,XHI,6.119095,7.004101,5.17965,6.037727,54396224.0,1076517075.74
176,CHC,140.900741,172.433485,118.38838,141.0133,54371389.0,2100147047.0
572,PCN,0.05356097,0.06110217,0.04572381,0.05387582,53329221.0,58060773113.94
764,UNIT,189.740407,218.906043,170.495991,190.347913,53219893.0,4230291091.1800003
351,GOLOS,66.004485,73.08679,57.57083,64.451029,52884678.0,16960844696.12
294,ETHD,96.612658,116.49789,80.01428,96.07075,52171935.0,1879330671.18
853,XSH,13.707907,15.509714,11.936734,13.70092,52105423.0,7639299964.96
287,ERC,218.734324,239.713757,203.054986,218.845864,52022451.0,9006244079.98
855,XSPEC,336.658016,376.880534,298.744806,336.099774,51370471.0,6976879817.0
528,NLC2,55.443759,61.43528,49.355346,55.51879,50579604.0,12599581314.7
119,BSR,27.169652,31.062743,22.735476,26.999615,49316348.0,80505215627.76001
613,PTC,20.980678,26.260901,18.746309,20.985057,48983303.0,2541282625.0
387,HUSH,960.392307,1101.109165,851.28277,960.864482,48255081.0,32145423293.800003
434,KST,2.692185,2.960629,2.408954,2.686707,47688114.0,37767878936.48
196,COLX,0.760289,0.859331,0.643557,0.758732,47528365.0,10126697629.32
440,LCC,65.438203,77.607313,53.025296,59.944936,46146781.0,20546405927.440002
749,TUBE,28.013893,30.612372,25.369428,27.785354,46057864.0,4057585850.1400003
727,TIPS,0.017348309,0.02143104,0.014019154,0.017374943,45274338.0,6411724454.0
150,BWK,747.1424939999999,843.031838,660.039049,741.514025,44955768.0,3418334344.2200003
719,TCC,30.177532,33.441437,28.254064,30.047806,44678195.0,6072310118.7
665,SEQ,83.856251,91.471828,77.43714,83.94988,43852526.0,7766047774.84
881,ZOI,259.457922,291.201618,225.12741,258.796236,43802543.0,4375864402.0
590,PLAN,14.337105,15.312377,13.007508,14.120248,43472609.0,6504508692.24
423,KB3,33.408301,45.605275999999996,23.280899,33.046913,43174296.0,24249950901.600002
550,ODN,99.840361,114.140842,86.188455,99.268507,43007283.0,2962943755.48
687,SNRG,607.204984,685.644976,548.324301,606.711084,42586469.0,1927743034.0
3,2GIVE,3.859165,4.282598,3.536739,3.862023,42531867.0,1998887186.0
407,INFX,259.041096,302.89406,230.142325,258.719529,42350686.0,425909363.0
152,BYC,393.271701,433.572059,361.364261,393.008005,42332715.0,668573843.0
594,PND,0.10195723,0.12315717,0.08090683,0.10192979,42051222.0,3309202597.0
601,POSW,101.237478,111.332525,90.318488,101.310964,41173562.0,13376620876.64
78,BDL,45.177523,53.360276999999996,39.456094,45.251198,40734344.0,14009311962.98
708,SUMO,620.40799,709.624429,539.4313,620.472186,40332497.0,1798169341.0
670,SHND,0.015503618,0.020608638,0.012375453,0.015498905,40177306.0,71393202889.16
494,MNX,4864.49,5454.95,4400.31,4859.45,39985500.0,18696173480.66
866,YOC,35.766935,43.373828,29.328042,35.791326,39417236.0,7721735884.02
370,HBC,224.178932,247.279992,185.414018,218.078142,38493784.0,8831945060.9
455,LPC,291.754488,328.401622,262.762032,289.14070399999997,38211755.0,1654763656.7
390,HXX,998.955304,1116.282521,878.447303,999.658865,37241509.0,1634762101.0
108,BOST,64.005214,70.221762,57.865771,63.956653,36649055.0,757531712.0
238,DIME,0.0141034582,0.0180612546,0.0113219289,0.014081368300000001,36602827.0,33423338596.7
160,CASH,4.795751,5.717449,3.842238,4.751034,36377840.0,127062848.0
833,XLR,2446.021761,2765.171299,2165.445785,2453.223979,36111772.0,2532287024.0
303,FAIR,270.118031,296.094951,245.28404700000002,270.273055,34550095.0,14353181369.0
269,EFL,83.290865,91.900048,76.82037,83.270649,34066256.0,1285081889.0
114,BRX,394.347482,434.854096,361.060028,394.199,33682602.0,7889109954.280001
832,XLQ,149.512486,173.735572,126.696852,149.987584,33019704.0,4088762724.48
235,DFT,251.985559,288.843729,216.21707,251.549714,30907561.0,14171269242.960001
490,MLM,5.114933,5.751373,4.444856,5.118751,30429325.0,21217257450.940002
837,XMO,699.77,765.17,646.21,694.71,30335045.0,40004134926.14
264,ECC,0.37590629999999997,0.42485914,0.320381074,0.37682654,29263952.0,15410930473.5
90,BIS,508.473177,574.489229,453.40234,509.952272,28969358.0,4460296085.74
68,BBR,541.999179,623.041887,479.950614,539.834185,28881945.0,5666407154.74
132,BTCZ,1.502805,1.678246,1.338084,1.503361,28740284.0,3183294551.44
261,EAG,221.196477,253.462346,180.315229,214.980891,28640215.0,78517432525.84
278,EMB,0.01470339,0.01880245,0.010662847,0.01497816,28527713.0,47381842893.86
880,ZNY,20.049412,23.466663,16.672778,20.007338999999998,28119521.0,1515834724.0
604,PPY,2689.899949,3039.21,2280.183683,2677.069387,27622531.0,10867306581.48
672,SIC,0.420689,0.495245,0.340613,0.414287,27225017.0,70627876460.16
586,PIRL,220.404982,247.014914,198.3281,220.406169,26520457.0,2700540762.48
802,WHL,36.559647,43.193898,30.996172,36.447058,26111500.0,2182274338.92
310,FLASH,7.889013,9.01411,6.651605,7.862116,25757852.0,52495049417.64
835,XMCC,492.88881299999997,570.788955,440.085206,492.939057,25648527.0,5291095250.1
